序号,URL,视频标题,静态开始时间1,静态结束时间1,静态开始时间2,静态结束时间2
58,https://www.bilibili.com/video/BV1fA411o7MG?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🚶 4K视频 | 旅行 | 美丽罗马 | 旅行歌单】,1208,1235,,
59,https://www.bilibili.com/video/BV1Qv4y1i7vk?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] ❄️ 4K视频 | 旅行 | 漫步雪后瑞士小镇 | 淡淡的忧伤歌单】,0020,0050,,
60,https://www.bilibili.com/video/BV1UG411K7c3?vd_source=f1effb29d152e5eac58d96cf56b76091,【[𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 🎹 4K视频 | 旅行 | 游览雪中的哈尔施塔特 | 钢琴曲歌单】,0759,0839,,
61,https://www.bilibili.com/video/BV1mmKwzSEZY,【8K HDR 60FPS】欧洲最美丽的五座城市风光航拍,0844,0907,,
62,https://www.bilibili.com/video/BV1vhK1znEPw,【8K HDR 60FPS】京都风光之旅 - 揭开古城隐藏之美,0548,0608,,
63,https://www.bilibili.com/video/BV1VDynYvET4,瑞士 • 4K 放松电影 冬季到春季 • 放松音乐 自然 4K视频,3750,3812,,
64,https://www.bilibili.com/video/BV1jZ421E7Y7,【4K 60FPS】挪威高清航拍（2023）,0225,0300,,
65,https://www.bilibili.com/video/BV1Cx4y1W7Yw,【4K】瑞士伯尔尼航拍（2023,0619,0645,,
66,https://www.bilibili.com/video/BV1Vw4m1S73o,【4K】法国第二大城市里昂航拍（2023）,0745,0810,,
67,https://www.bilibili.com/video/BV1rw4m1k7MN,【4K 60FPS】西班牙首都马德里航拍（2024）,0033,0053,,
68,https://www.bilibili.com/video/BV1Gi421a7qN,【4K 60FPS】安道尔小村庄埃尔塔特航拍（2024）,0303,0333,,
69,https://www.bilibili.com/video/BV19W421F7Lw,【4K】瑞典马尔默航拍（2023.5）,0500,0530,,
70,https://www.bilibili.com/video/BV12x421y7Tj,【4K】冰岛航拍,0000,0020,,
71,https://www.bilibili.com/video/BV1nC411Y7XW,【4K】丹麦首都哥本哈根航拍（2023）,0823,0900,,
72,https://www.bilibili.com/video/BV17cSJYUEa3,泰国 4K 超高清 • 令人惊叹的镜头，风景优美的放松电影，带有平静的音乐,0013,0055,,
73,https://www.bilibili.com/video/BV1zoSEYnEuV,飞越库特尼 (4K UHD) - 令人惊叹的美丽自然风光，鼓舞人心,0018,0038,,
74,https://www.bilibili.com/video/BV1nRSEYXEzD,葡萄牙 阿尔加维 4K - 揭开葡萄牙海岸线的奇妙面纱，放松身心,0756,0830,,
75,https://www.bilibili.com/video/BV1BFSJYEEpi,阿富汗 4K - 风景优美的休闲电影，配有轻松的音乐,0020,0055,,
76,https://www.bilibili.com/video/BV1dyxWenEhd,【阿彭策尔 4K 无人机航拍电影 - 用风景来激发电影音乐】,0020,0040,,
77,https://www.bilibili.com/video/BV1jyxWeHE9S,【加勒比海 休闲视频 4K 超高清 - 享受休闲时光，欣赏美丽风景】,0055,0115,,
78,https://www.bilibili.com/video/BV1LkmNYiE6z,【阿拉斯加 4K 超高清航空电影 • 令人惊叹的镜头、风景优美的放松电影和平静的音乐】,0015,0035,,
79,https://www.bilibili.com/video/BV1ryyPYvE6v,【奥地利 —— 令人惊叹的阿尔卑斯山风光、历史建筑和宁静的自然风光】,0050,0110,,
80,https://www.bilibili.com/video/BV19PyTYbEJX,【罗弗敦群岛 4K畅游 令人惊叹的大自然杰作】,0030,0050,,
81,https://www.bilibili.com/video/BV1pPyKY6EHh,【飞越瑞典 4K UHD - 令人惊叹的美丽自然风光与轻松的音乐】,0032,0052,,
82,https://www.bilibili.com/video/BV1VMyuYvEsm,【北爱尔兰巨人之路 Giant's Causeway 4K - 探索令人惊叹的六角柱和海岸美景】,0013,0033,,
83,https://www.bilibili.com/video/BV1EjyMYgEVy,【哈尔施塔特 4K - 奥地利湖畔村庄的迷人之美】,0035,0055,,
84,https://www.bilibili.com/video/BV1TCygY8EiQ,【堪察加半岛 4K - 探索令人惊叹的原始自然风光、火山和野生动物】,0010,0030,,
85,https://www.bilibili.com/video/BV1R1yuYuERR,【俄勒冈州 4K UHD - 自然放松电影，配以舒缓的钢琴音乐 - 自然之地】,0011,0031,,
86,https://www.bilibili.com/video/BV1VvyGYCE5P,【4K 越南——揭开东南亚最迷人的隐藏奇迹】,0021,0041,,
87,https://www.bilibili.com/video/BV1UHy3YYEjz,【采尔马特 4K UHD - 令人惊叹的航拍电影 - 探索山城，未受污染的阿尔卑斯山】,0031,0051,,
88,https://www.bilibili.com/video/BV1fqC2YjEHZ,【阿拉斯加 4K - 森林与冰川的野性之美，一场无尽的冒险】,0010,0030,,
89,https://www.bilibili.com/video/BV1xtCUYcEY4,【丹麦 4K - 探索哥本哈根及其周边的美丽】,0150,0210,,
90,https://www.bilibili.com/video/BV1zwCDYdEgH,【美丽的马德拉 4K - 轻松平和的音乐和美丽的风景画面】,0010,0030,,
91,https://www.bilibili.com/video/BV1LTGreYE2D,【大疆mini 4k 环绕飞行】,0000,0039,,
92,https://www.bilibili.com/video/BV14LGezWEKt,【【4K航拍】一镜环绕 - 深圳子弹头大厦】,0000,0052,,
93,https://www.bilibili.com/video/BV18aVEznE5k,【[4K航拍]武汉沙湖天际线超大范围运镜】,0000,0034,,
94,https://www.bilibili.com/video/BV1cK411D73S,【room tour一镜到底，实景拍摄125㎡三居室家装毕业照】,0020,0060,0147,0217
95,https://www.bilibili.com/video/BV1c44y1o7YX,【【4K Mαvic3】大范围移动运镜2.0】,0000,0030,,
96,https://www.bilibili.com/video/BV1Do4y1k7b1,【一镜到底看我家｜70平小户型自装日系原木风】,0020,0046,,
97,https://www.bilibili.com/video/BV1sixLzNEHT,【4K世界 无人机镜头-英国鸟瞰-风景放松电影与平静音乐。_超清 4K】,0000,0026,0140,0207
98,https://www.bilibili.com/video/BV1rP4y1V7BJ,【[4K] 瑞典乌普萨拉大教堂参观漫步】,0228,0248,0438,0658
99,https://www.bilibili.com/video/BV1qv411C7qR,【横滨・拉面博物馆【4K】】,0020,0050,0140,0150
100,https://www.bilibili.com/video/BV18P4y1Y7cE,【【4K】上海电影博物馆】,0024,0044,,
101,https://www.bilibili.com/video/BV1UN411m7bF,【4K航拍八一广场（自用素材）】,0000,0103,,
102,https://www.bilibili.com/video/BV1xz421B799,【【4KHDR 真彩®】美丽的夜晚城市｜极致色彩】,0040,0105,,
103,https://www.bilibili.com/video/BV13vpSekEUn,【迪拜4KHDR超高清视频 | 阿联酋空中无人机视图「2024」】,0056,0106,,
104,https://www.bilibili.com/video/BV1Wg411g7M5,【航拍中国 4K 画质测试 极致色彩体验 视觉体验 测试你的屏幕 8K原素材】,4420,4440,,
105,https://www.bilibili.com/video/BV1EB4y1M7VU,【4K UHD 航拍 - 地球上最美丽的地方】,0100,0122,,
106,https://www.bilibili.com/video/BV1pjkuYGEzo?spm_id_from=333.788.recommend_more_video.-1&vd_source=762c585c78021419118694779208cb1b,一眼沦陷的126平意式极简，沉稳克制高级感满满#星河国际,,,,
107,https://www.bilibili.com/video/BV18u411L7Ug?spm_id_from=333.788.videopod.episodes&vd_source=762c585c78021419118694779208cb1b&p=3,[中字]世界超级豪宅4K超高清,,,,
108,https://www.bilibili.com/video/BV1A44y1t77E/?spm_id_from=333.337.search-card.all.click&vd_source=762c585c78021419118694779208cb1b,【4K】阿尔卑斯山 - 绝美风景休闲放松影片,,,,
109,https://www.bilibili.com/video/BV1SXsoecERq?spm_id_from=333.788.videopod.sections&vd_source=762c585c78021419118694779208cb1b,4KHDR 真彩®】 彩色爆发HDR杜比视界,,,,
110,https://www.bilibili.com/video/BV1hSsoeAEzk?spm_id_from=333.788.videopod.sections&vd_source=762c585c78021419118694779208cb1b,【4KHDR 真彩®】 最佳杜比视界HDR体验,,,,
111,https://www.bilibili.com/video/BV1bRsoefEwf?spm_id_from=333.788.videopod.sections&vd_source=762c585c78021419118694779208cb1b,【4KHDR 真彩®】 杜比视界电影级视频,,,,
112,https://www.bilibili.com/video/BV1RrsoeBECB?spm_id_from=333.788.videopod.sections&vd_source=762c585c78021419118694779208cb1b,【4KHDR 真彩®】 最佳杜比视界™ 画质景色,,,,
113,https://www.bilibili.com/video/BV1zi4y197pT/?spm_id_from=333.337.search-card.all.click&vd_source=762c585c78021419118694779208cb1b,⚜4K超清⚜ 10小时🕊️瑞士令人惊叹的美丽自然与舒缓的轻松音乐,,,,
114,https://www.bilibili.com/video/BV1oy411e75d?spm_id_from=333.788.videopod.sections&vd_source=762c585c78021419118694779208cb1b,壁纸级 8K 极致HDR色彩体验 | QLED演示充满活力的自然色彩,,,,
115,https://www.bilibili.com/video/BV11n3jzAEG8/?spm_id_from=333.337.search-card.all.click&vd_source=762c585c78021419118694779208cb1b,BEST OF OLED COLORS Dolby Vision 4K HDR 120 FPS Video,,,,
116,https://www.bilibili.com/video/BV1U3gkz3Ebw?spm_id_from=333.788.recommend_more_video.6&vd_source=762c585c78021419118694779208cb1b,8K HDR Best Mix 2025 Dolby Vision -杜比视界,,,,
117,https://www.bilibili.com/video/BV1P6x7zgE66/?spm_id_from=333.337.search-card.all.click&vd_source=762c585c78021419118694779208cb1b,视觉盛宴｜看见真实世界的色彩 4K HDR 杜比 - 放松风光影片,,,,
118,https://www.bilibili.com/video/BV1vvHGzYEwx?spm_id_from=333.788.videopod.sections&vd_source=762c585c78021419118694779208cb1b,探索地球的隐藏之美 4K HDR 杜比 - 放松风光影片,,,,
119,https://www.bilibili.com/video/BV1ieHGzPEMn?spm_id_from=333.788.videopod.sections&vd_source=762c585c78021419118694779208cb1b,探秘你从未见过的绝美胜地 4K HDR 杜比 - 放松风光影片,,,,
120,https://www.bilibili.com/video/BV171xpz3EEv/?spm_id_from=333.337.search-card.all.click&vd_source=762c585c78021419118694779208cb1b,4K HDR 60FPS ｜仿佛天堂的绝美画面 ｜杜比视界 & 沉浸式学习,,,,
121,https://www.bilibili.com/video/BV1vLxKzoEEL?vd_source=77bbb9ecce2c2f0fb1a53871f63f2581,【一场绿意流动的梦 8K HDR 杜比 - 放松风光影片】,3649,3709,,
122,https://www.bilibili.com/video/BV1oSUKYCEbW?vd_source=77bbb9ecce2c2f0fb1a53871f63f2581,【小县城大平层的快乐谁懂啊～】,0004,0030,,
123,https://www.bilibili.com/video/BV1gp6uYnEqo?vd_source=77bbb9ecce2c2f0fb1a53871f63f2581,【冰岛 4K - 风光影片】,0847,0907,0916,0937
124,https://www.bilibili.com/video/BV1Qinoz2Ex1?vd_source=77bbb9ecce2c2f0fb1a53871f63f2581,【郑州109平 奶油中古新房 一镜到底来啦！】,0004,0027,,
125,https://www.bilibili.com/video/BV1LDxfzCESR?vd_source=77bbb9ecce2c2f0fb1a53871f63f2581,【【Roomtour】入住五年的小家，全屋一镜到底】,0003,0023,0044,0104
126,https://www.bilibili.com/video/BV1zZ421876L?vd_source=77bbb9ecce2c2f0fb1a53871f63f2581,【长沙黑色博物馆（精神病世界展览）4K一镜到底】,0000,0025,0142,0204
127,https://www.bilibili.com/video/BV1EeZvYSEuV?vd_source=77bbb9ecce2c2f0fb1a53871f63f2581,【【航拍4K一镜到底】德国什未林城堡】,0002,0022,,
128,https://www.bilibili.com/video/BV11v411G7ND/?spm_id_from=333.337.search-card.all.click&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,【日本巡礼】【4K高清】春天的富士山,0010,0032,,
129,https://www.bilibili.com/video/BV1vM4y1J7dy/?spm_id_from=333.337.search-card.all.click&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,越南 4K超清 航拍越南梯田，感受农耕之美 轻松的音乐 缓解压力 放松身心 治愈焦虑 缓解抑郁状况,0328,0350,,
130,https://www.bilibili.com/video/BV1v94y1Y7RZ?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,亚得里亚海 4K超清 湛蓝碧海 亚得里亚海梦幻之旅 轻松的音乐 缓解压力 放松身心 治愈焦虑 缓解抑郁状况,0608,0633,,
131,https://www.bilibili.com/video/BV1AT411X7bz?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,风车王国 最美荷兰 4K高清带您走进郁金香花海和美丽的田园风光 舒缓的音乐 深度放松您的心情,0320,0348,,
132,https://www.bilibili.com/video/BV1i24y1q7ia?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,飞跃土耳其 4K高清 美丽的风景，舒缓的音乐，深度放松您的心情。,1423,1451,,
133,https://www.bilibili.com/video/BV1pv4y147mV?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,风光旖旎 时尚之国 意大利 4K高清 美丽的风景 舒缓的音乐 深度放松您的心情,1912,1933,,
134,https://www.bilibili.com/video/BV1t341197LH?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,飞跃加勒比海 4K高清 美丽的风景，舒缓的音乐，深度放松您的心情,0723,0754,,
135,https://www.bilibili.com/video/BV1EA41117En?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,飞跃爱尔兰 4K高清 美丽的风景 舒缓的音乐 深度放松您的心情,0645,0707,,
136,https://www.bilibili.com/video/BV1TL411r7CJ?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,4K超清 马略卡岛 蓝天碧海 马略卡岛海滩风光,0903,0924,,
137,https://www.bilibili.com/video/BV1GM4y1Y7w5?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,巴塔哥尼亚 4K超清 探索巴塔哥尼亚的壮丽风景 轻松的音乐 缓解压力 放松身心 治愈焦虑 缓解抑郁状况,0605,0645,,
138,https://www.bilibili.com/video/BV1mV411N7pr?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,泰国 4K超清 沉醉于泰国阳光下的金色沙滩 轻松的音乐 缓解压力 放松身心 治愈焦虑 缓解抑郁状况,1200,1224,,
139,https://www.bilibili.com/video/BV13c411g7kL?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,"牙买加 4K超清 徜徉在牙买加蓝色海洋的怀抱,感受大自然的魅力 轻松的音乐 缓解压力 放松身心 治愈焦虑 缓解抑郁状况",0649,0714,,
140,https://www.bilibili.com/video/BV1Sz4y187tt?spm_id_from=333.788.videopod.sections&vd_source=fc2fd91ecf7c80b70d0eb5d8128aae86,科罗拉多 4K超清 带您探索科罗拉多州的壮丽山脉景色 舒缓的音乐 缓解压力 放松身心,0157,0223,,
